# File Name: RGD_Gene_List.tsv
# 
# File Type: tab-separated values
# 
# More notes: TBA (to be added, in a future version)
# 
# Column Headers:
# MOD ID	Symbol	Synonyms	Name	Notes
1309163	Ago3	Eif2c3|LOC313593		
621255	Ago2	Eif2c2|Gerp95|eIF-2C 2|eIF2C 2		
1309229	Agpat2	LOC311821		
1303287	Agpat1	MGC94573		
69258	Ager	RAGE		
1304583	Ago4	Eif2c4|LOC298533		
1312038	Agmo	LOC362732|RGD1312038|Tmem195		
1305787	Agpat3	LOC294324		
1565406	Agr3	LOC298959|RGD1565406		
1304606	Agr2	LOC298961		
1306405	Agpat5	LOC306582|MGC188222|RGD1306405		
620364	Agps	Adap-s|Adps|Ads|LOC100360503		
619916	Agpat4	1-AGPAT 4|LPAAT-delta|MGC93227		
2068	Agrp			
2067	Agrn	AGR		
1306307	Agtpbp1	LOC290986		
1359346	Agtrap	MGC95145		
2071	Agtr1b	AT1|AT3|AT<sub>1</sub>R|Agtr1|At1b		
2073	Agxt	AGT|SPT|Spat		
2072	Agtr2	AT2|AT2-R|AT2R|AT<sub>2</sub>R		
621767	Agxt2	AGT 2|AGT2|D-AIBAT		
1561291	Ahctf1	ELYS|LOC360886|RGD1561291		
2069	Agt	ANRT|Ang|AngII|MGC105326|PAT		
69260	Ahcy			
2070	Agtr1a	AT1|AT1A|AT1R|Agtr1		
1309768	Ahcyl1	LOC362013		
1310031	Ahdc1	LOC362617|RGD1310031		
1564895	Ahcyl2	LOC312192|RGD1564895		
1309696	Ahnak2	LOC314478|RGD1309696		
1303040	Ahi1	Ahi-1		
619779	Ahnak	AHNAK 1|RGD1308572|UV118		
1307171	Ahsa2	LOC305577		
1589285	Ahsa1	LOC681996		
2074	Ahr			
1306725	Ahsp	Eraf|LOC293522		
1303222	Aicda	AID		
1592746	Aida	LOC682999|MGC187619		
1559857	Ahrr			
1305081	Aif1l	LOC362107|RGD1305081		
620817	Aifm1	Aif|Pdcd8		
2075	Ahsg	Aa2-066|BSP|pp63		
1304964	Aifm2	Amid|LOC361843|Prg3		
1306028	Aifm3	LOC303786|MGC109275|RGD1306028		
1562920	Aig1	LOC292486|RGD1562920		
1307283	Aim2	LOC304987		
620466	Aimp1	Emap2|MGC112632|Scye1		
628619	Aip	XAP2		
1560787	Aimp2	JTV1|MGC125271		
70906	Aipl1			
1590138	Ajap1	LOC687031|neumo48		
1311139	Aire	LOC294328		
620407	Ajuba	Jub|MGC93830		
61924	Aif1	AIF-1|BART-1|Bart1|iba1|mrf-1		
619885	Ak3	AK 3		
2078	Ak4	AK 4|Ak3l1|Ak3l2|MGC93541		
2076	Ak1	Ak 1|MGC108678		
2077	Ak2	AK 2		
1590818	Ak5	LOC365985		
7387335	Ak6	AK/ATPase		
1309600	Ak7	LOC314416		
1303144	Ak8	AK 8|MGC94995|RGD1303144		
1559879	Ak9	Akd2|LOC294521|LOC309854|RGD1559879|RGD1560386		
2324352	Akain1	LOC100362606		
1308869	Akap10	D-akap2|LOC360540		
620826	Akap1	AKAP 121|Akap84|D-AKAP-1|PRKA1|S-AKAP84		
2079	Akap11	AKAP 220|AKAP-11|Akap|PRKA11		
708510	Akap14	LOC60332		
727893	Akap13	AKAP-13|AKAP-Lbc|LOC293024		
70988	Akap12	AKAP12A|AKAP12B|AKAP12G		
1564640	Akap17a	LOC288526		
1566363	Akap17b	LOC313434|RGD1566363		
1305135	Akap2	AKAP-2|LOC298024		
620828	Akap4	AKAP-4|PRKA4		
1359735	Akap3	MGC93915		
620829	Akap5	AKAP 150|AKAP-5|AKAP150|Akap79|P150		
69412	Akap6	AKAP-6|PRKA6		
620832	Akap8	AKAP 95|AKAP-8|Akap95		
1303071	Akap7	AKAP-18|AKAP18|AKAP18d|Akap15|MGC112559		
1359200	Akap8l	LOC299569		
1306959	Akip1	LOC361624|RGD1306959		
1585989	Akirin1	LOC595134		
1307791	Akirin2	FBI1|LOC297968|RGD1307791		
620833	Akap9	CG-NAP|Gisp		
1308202	Akna	LOC362530		
1583957	Aknad1	LOC691416		
1564913	Akr1b1-ps1	ALR-P1|Akr1b4-ps3|Aldr1p3|Alrp3|LOC298931|RGD1564913		
621650	Akp3	Alpi2|IAP-2|IAP-II		
1560120	Akr1b1-ps2	ALR-P2|Akr1b4-ps2|Aldr1p2|Alrp2|LOC500301|RGD1560120		
68346	Akr1a1	Akr1a4		
1589983	Akr1b1-ps3	ALR-P1|Akr1b4-ps1|Aldr1p1|Alrp1|LOC688395		
2092	Akr1b1	ALR-P-I|AR|Akr1b3|Akr1b4|Aldr1|Alr		
1308277	Akr1b10	LOC296972		
620257	Akr1b7	Akr1b14|Avdp|MVDP		
708475	Akr1b8	LOC286921|MGC91427		
1559604	Akr1c12l1	Akr1c17|LOC498790|MGC156786|RGD1559604		
1359406	Akr1c12	Akr1c13|LOC364773|TBER1|TBER1-S|x56		
1306847	Akr1c1	Akr1c6|Hsd17b5|LOC307092|MGC125057		
1308232	Akr1c13	Akr1c12|Akr1c12T|LOC361266		
1562954	Akr1c19	LOC307096|RGD1562954		
1311841	Akr1c2	Akr1c21|LOC291283		
708361	Akr1c14	Akr1c9|LOC191574		
1307514	Akr1cl	Akr1cl1|LOC361267		
708428	Akr1c3	20-alpha-HSD|Akr1c18|HSD1|LOC171516		
