# input[ftp://ftp.sanger.ac.uk/pub/consortia/wormbase/STAFF/mh6/nightly_geneace/clones2.ace.gz] script ingest_wormbase_clone2.groovy
#Thu Mar 15 21:28:18 PDT 2018
# ID|SYMBOL|NAME|SYNONYMS|NOTES
2L52	2L52		2L52|Caenorhabditis elegans
VVH4	VVH4		Caenorhabditis elegans
VY35H6BL	VY35H6BL		VY35H6BL|Caenorhabditis elegans
WB2!	WB2!		W10G11|Caenorhabditis elegans
WK4	WK4		Caenorhabditis elegans
WK4!	WK4!		Caenorhabditis elegans
WK10	WK10		Caenorhabditis elegans
WK21	WK21		Caenorhabditis elegans
WK30	WK30		Caenorhabditis elegans
WK40	WK40		Caenorhabditis elegans
WK60	WK60		Caenorhabditis elegans
WK92	WK92		Caenorhabditis elegans
YAC_BRIDGE_III_1	YAC_BRIDGE_III_1		Y17255|Caenorhabditis elegans
YAC_BRIDGE_III_2	YAC_BRIDGE_III_2		Caenorhabditis elegans
YAC_BRIDGE_III_3	YAC_BRIDGE_III_3		Caenorhabditis elegans
YAC_BRIDGE_III_4	YAC_BRIDGE_III_4		Caenorhabditis elegans
YAC_BRIDGE_III_5	YAC_BRIDGE_III_5		Caenorhabditis elegans
YAC_BRIDGE_III_6	YAC_BRIDGE_III_6		Caenorhabditis elegans
YAC_BRIDGE_III_7	YAC_BRIDGE_III_7		Caenorhabditis elegans
YAC_BRIDGE_III_8	YAC_BRIDGE_III_8		Caenorhabditis elegans
YAC_BRIDGE_III_9	YAC_BRIDGE_III_9		Caenorhabditis elegans
YAC_BRIDGE_II_9	YAC_BRIDGE_II_9		Caenorhabditis elegans
YAC_BRIDGE_II_11	YAC_BRIDGE_II_11		Caenorhabditis elegans
YAC_BRIDGE_II_12	YAC_BRIDGE_II_12		Caenorhabditis elegans
YAC_BRIDGE_II_13	YAC_BRIDGE_II_13		Caenorhabditis elegans
YAC_BRIDGE_II_14	YAC_BRIDGE_II_14		Caenorhabditis elegans
YAC_BRIDGE_II_19	YAC_BRIDGE_II_19		Caenorhabditis elegans
YAC_BRIDGE_II_20	YAC_BRIDGE_II_20		Caenorhabditis elegans
YAC_BRIDGE_II_21	YAC_BRIDGE_II_21		Caenorhabditis elegans
YAC_BRIDGE_II_23	YAC_BRIDGE_II_23		Caenorhabditis elegans
YAC_BRIDGE_II_24	YAC_BRIDGE_II_24		Caenorhabditis elegans
YAC_BRIDGE_II_25	YAC_BRIDGE_II_25		Caenorhabditis elegans
YAC_BRIDGE_II_27	YAC_BRIDGE_II_27		Caenorhabditis elegans
YAC_BRIDGE_II_29	YAC_BRIDGE_II_29		Caenorhabditis elegans
YAC_BRIDGE_II_30	YAC_BRIDGE_II_30		Caenorhabditis elegans
YAC_BRIDGE_II_31	YAC_BRIDGE_II_31		Caenorhabditis elegans
YAC_BRIDGE_II_32	YAC_BRIDGE_II_32		Caenorhabditis elegans
YAC_BRIDGE_II_33	YAC_BRIDGE_II_33		Caenorhabditis elegans
YAC_BRIDGE_IV_2	YAC_BRIDGE_IV_2		Caenorhabditis elegans
YAC_BRIDGE_IV_3	YAC_BRIDGE_IV_3		Caenorhabditis elegans
YAC_BRIDGE_IV_4	YAC_BRIDGE_IV_4		Caenorhabditis elegans
YAC_BRIDGE_IV_5	YAC_BRIDGE_IV_5		Caenorhabditis elegans
YAC_BRIDGE_IV_6	YAC_BRIDGE_IV_6		Caenorhabditis elegans
YAC_BRIDGE_IV_7	YAC_BRIDGE_IV_7		Caenorhabditis elegans
YAC_BRIDGE_IV_8	YAC_BRIDGE_IV_8		Caenorhabditis elegans
YAC_BRIDGE_IV_9	YAC_BRIDGE_IV_9		Caenorhabditis elegans
YAC_BRIDGE_IV_10	YAC_BRIDGE_IV_10		Caenorhabditis elegans
YAC_BRIDGE_IV_11	YAC_BRIDGE_IV_11		Caenorhabditis elegans
YAC_BRIDGE_IV_12	YAC_BRIDGE_IV_12		Caenorhabditis elegans
YAC_BRIDGE_IV_14	YAC_BRIDGE_IV_14		Caenorhabditis elegans
YAC_BRIDGE_IV_16	YAC_BRIDGE_IV_16		Caenorhabditis elegans
YAC_BRIDGE_IV_17	YAC_BRIDGE_IV_17		Caenorhabditis elegans
YAC_BRIDGE_IV_18	YAC_BRIDGE_IV_18		Caenorhabditis elegans
YAC_BRIDGE_IV_20	YAC_BRIDGE_IV_20		Caenorhabditis elegans
YAC_BRIDGE_IV_21	YAC_BRIDGE_IV_21		Caenorhabditis elegans
YAC_BRIDGE_IV_22	YAC_BRIDGE_IV_22		Caenorhabditis elegans
YAC_BRIDGE_I_6	YAC_BRIDGE_I_6		Caenorhabditis elegans
YAC_BRIDGE_I_7	YAC_BRIDGE_I_7		Caenorhabditis elegans
YAC_BRIDGE_I_8	YAC_BRIDGE_I_8		Caenorhabditis elegans
YAC_BRIDGE_I_9	YAC_BRIDGE_I_9		Caenorhabditis elegans
YAC_BRIDGE_I_11	YAC_BRIDGE_I_11		Caenorhabditis elegans
